Customer_ID,Customer_Status,Age,Gender,Marital_Status,Province,Income_Category,Card_Category,Months_on_Book,Contacts_Count_12m,Credit_Limit,Total_Trans_Amt,Total_Trans_Count,Avg_Utilization_Ratio
1000000,Churned Customer,31,M,Divorced,Babil,60M+,Blue,32,4,17916140,13352947,5,0.035
1000001,Churned Customer,25,M,Unknown,Maysan,10M - 20M,Gold,38,6,10709497,3365731,23,0.124
1000002,Existing Customer,46,F,Married,Wasit,Less than 10M,Gold,18,3,12505337,4862072,11,0.745
1000003,Existing Customer,41,M,Married,Qadisiyah,60M+,Blue,22,3,2685143,5949029,36,0.283
1000004,Existing Customer,52,F,Unknown,Wasit,20M - 40M,Blue,25,0,24041599,14792614,67,0.124
1000005,Existing Customer,51,F,Divorced,Muthanna,60M+,Blue,18,2,15885305,14858199,106,0.616
1000006,Existing Customer,22,M,Single,Anbar,Unknown,Blue,43,0,23922850,1714775,42,0.498
1000007,Existing Customer,62,M,Divorced,Maysan,Unknown,Silver,60,2,17051106,1098052,69,0.607
1000008,Existing Customer,36,M,Married,Wasit,20M - 40M,Blue,60,4,13556498,2968243,86,0.799
1000009,Churned Customer,27,M,Single,Nineveh,20M - 40M,Gold,22,4,6298826,13514653,16,0.153
1000010,Existing Customer,37,F,Married,Duhok,40M - 60M,Blue,42,4,8581293,8672617,24,0.167
1000011,Existing Customer,31,F,Unknown,Najaf,60M+,Blue,16,2,21241946,8061989,44,0.137
1000012,Churned Customer,58,F,Single,Wasit,40M - 60M,Blue,47,4,14315543,8646415,20,0.174
1000013,Existing Customer,47,F,Divorced,Baghdad,10M - 20M,Blue,18,0,6520025,4940466,62,0.597
1000014,Churned Customer,63,M,Unknown,Salah Al-Din,10M - 20M,Platinum,45,6,2829853,12236981,5,0.165
1000015,Churned Customer,25,F,Unknown,Karbala,60M+,Blue,23,6,8789058,4643663,10,0.025
1000016,Churned Customer,53,F,Unknown,Erbil,40M - 60M,Silver,55,6,13275418,14332494,19,0.012
1000017,Existing Customer,52,M,Divorced,Maysan,20M - 40M,Blue,17,3,13128577,2382039,51,0.76
1000018,Churned Customer,39,F,Married,Wasit,Less than 10M,Blue,22,4,21768167,13698077,37,0.011
1000019,Existing Customer,47,M,Single,Najaf,10M - 20M,Blue,15,0,17636435,1848584,103,0.69
1000020,Existing Customer,32,F,Married,Kirkuk,10M - 20M,Blue,33,2,13905754,3835974,103,0.29
1000021,Churned Customer,70,M,Married,Nineveh,Less than 10M,Platinum,12,6,12719383,14036757,30,0.043
1000022,Churned Customer,60,F,Married,Muthanna,20M - 40M,Blue,35,5,7707053,10685882,14,0.079
1000023,Churned Customer,24,F,Married,Wasit,20M - 40M,Blue,37,4,20125192,9453610,6,0.072
1000024,Churned Customer,49,M,Single,Anbar,20M - 40M,Blue,59,6,5205341,732640,32,0.148
1000025,Existing Customer,69,M,Single,Anbar,10M - 20M,Silver,53,2,17120175,1787664,28,0.189
1000026,Existing Customer,22,M,Divorced,Duhok,Less than 10M,Blue,33,3,9220579,4578347,115,0.312
1000027,Existing Customer,33,M,Single,Dhi Qar,Unknown,Blue,55,0,13943117,1866183,115,0.387
1000028,Existing Customer,48,F,Married,Muthanna,Unknown,Blue,55,0,12689580,7599352,44,0.781
1000029,Churned Customer,56,M,Single,Karbala,10M - 20M,Blue,30,6,14365805,9543962,12,0.027
1000030,Existing Customer,37,F,Unknown,Wasit,10M - 20M,Blue,55,2,18447708,8408184,61,0.478
1000031,Churned Customer,38,F,Unknown,Najaf,Less than 10M,Blue,43,4,24596822,7829553,34,0.045
1000032,Existing Customer,21,M,Married,Nineveh,10M - 20M,Blue,40,1,9582639,6563700,13,0.025
1000033,Existing Customer,41,M,Unknown,Baghdad,60M+,Blue,58,5,1786548,5241584,111,0.239
1000034,Existing Customer,70,F,Divorced,Muthanna,Less than 10M,Blue,53,2,2816428,2714215,102,0.441
1000035,Existing Customer,51,M,Divorced,Qadisiyah,40M - 60M,Blue,15,5,21019131,10027887,46,0.333
1000036,Existing Customer,65,M,Married,Salah Al-Din,20M - 40M,Blue,48,3,21535766,5261956,31,0.004
1000037,Existing Customer,56,M,Married,Kirkuk,40M - 60M,Blue,60,5,5897196,2123969,83,0.519
1000038,Existing Customer,55,F,Unknown,Nineveh,Unknown,Blue,15,3,19313595,7370743,62,0.385
1000039,Churned Customer,47,M,Married,Basra,Unknown,Blue,15,4,6969894,8354546,38,0.169
1000040,Existing Customer,39,M,Single,Maysan,40M - 60M,Silver,29,2,16745955,13002426,89,0.63
1000041,Churned Customer,37,F,Unknown,Salah Al-Din,Less than 10M,Blue,53,6,20841469,14180896,38,0.126
1000042,Churned Customer,24,F,Single,Maysan,20M - 40M,Silver,20,6,13204508,5172350,13,0.171
1000043,Existing Customer,31,M,Unknown,Najaf,40M - 60M,Silver,40,2,11791200,14161818,107,0.187
1000044,Existing Customer,66,F,Single,Sulaymaniyah,Unknown,Blue,45,1,11065901,10970214,87,0.43
